,ds,trend,cap,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,buddabirthday,buddabirthday_lower,buddabirthday_upper,childrendays,childrendays_lower,childrendays_upper,crismasday,crismasday_lower,crismasday_upper,holidays,holidays_lower,holidays_upper,independencemovementday,independencemovementday_lower,independencemovementday_upper,koreanday,koreanday_lower,koreanday_upper,liberationday,liberationday_lower,liberationday_upper,memorialday,memorialday_lower,memorialday_upper,nationalfoundationday,nationalfoundationday_lower,nationalfoundationday_upper,newyear,newyear_lower,newyear_upper,thanksgivingday,thanksgivingday_lower,thanksgivingday_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
13,2018-01-14,414.6743942,4400,242.7498755,690.5429079,414.6743942,414.6743942,63.70169485,63.70169485,63.70169485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240.2326277,240.2326277,240.2326277,-176.5309329,-176.5309329,-176.5309329,0,0,0,478.3760891
14,2018-01-15,414.7047476,4400,-431.1328022,5.226167979,414.7047476,414.7047476,-625.1975751,-625.1975751,-625.1975751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-451.1245852,-451.1245852,-451.1245852,-174.0729899,-174.0729899,-174.0729899,0,0,0,0
15,2018-01-16,414.7351009,4400,30.01362054,468.6367946,414.7351009,414.7351009,-156.3044378,-156.3044378,-156.3044378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.83913154,15.83913154,15.83913154,-172.1435693,-172.1435693,-172.1435693,0,0,0,258.4306631
16,2018-01-17,414.7654542,4400,57.69717666,485.7513565,414.7654542,414.7654542,-143.3596227,-143.3596227,-143.3596227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.40296619,27.40296619,27.40296619,-170.7625889,-170.7625889,-170.7625889,0,0,0,271.4058315
17,2018-01-18,414.7958075,4400,47.37454789,468.5149518,414.7958075,414.7958075,-161.5805657,-161.5805657,-161.5805657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.352840085,8.352840085,8.352840085,-169.9334057,-169.9334057,-169.9334057,0,0,0,253.2152419
18,2018-01-19,414.8261608,4400,10.45202126,439.3082347,414.8261608,414.8261608,-186.7073093,-186.7073093,-186.7073093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17.06416925,-17.06416925,-17.06416925,-169.6431401,-169.6431401,-169.6431401,0,0,0,228.1188515
19,2018-01-20,414.8565142,4400,210.6397879,654.2934127,414.8565142,414.8565142,6.497722138,6.497722138,6.497722138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.3611889,176.3611889,176.3611889,-169.8634668,-169.8634668,-169.8634668,0,0,0,421.3542363
20,2018-01-21,414.8868675,4400,276.3892131,706.7013411,414.8868675,414.8868675,69.68078988,69.68078988,69.68078988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240.2326277,240.2326277,240.2326277,-170.5518378,-170.5518378,-170.5518378,0,0,0,484.5676574
21,2018-01-22,414.9172208,4400,-415.1537414,11.65748092,414.9172208,414.9172208,-622.7776726,-622.7776726,-622.7776726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-451.1245852,-451.1245852,-451.1245852,-171.6530874,-171.6530874,-171.6530874,0,0,0,0
22,2018-01-23,414.9475741,4400,17.00512694,466.0845271,414.9475741,414.9475741,-157.2622264,-157.2622264,-157.2622264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.83913154,15.83913154,15.83913154,-173.1013579,-173.1013579,-173.1013579,0,0,0,257.6853477
23,2018-01-24,414.9779274,4400,51.2377611,477.1844596,414.9779274,414.9779274,-147.4193134,-147.4193134,-147.4193134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.40296619,27.40296619,27.40296619,-174.8222796,-174.8222796,-174.8222796,0,0,0,267.558614
24,2018-01-25,415.0082808,4400,45.68219139,465.3558101,415.0082808,415.0082808,-168.3824869,-168.3824869,-168.3824869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.352840083,8.352840083,8.352840083,-176.735327,-176.735327,-176.735327,0,0,0,246.6257939
25,2018-01-26,415.0386341,4400,4.174696643,440.7306071,415.0386341,415.0386341,-195.8204435,-195.8204435,-195.8204435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17.06416925,-17.06416925,-17.06416925,-178.7562743,-178.7562743,-178.7562743,0,0,0,219.2181906
26,2018-01-27,415.0689874,4400,194.0931528,616.4161349,415.0689874,415.0689874,-4.438479693,-4.438479693,-4.438479693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.3611889,176.3611889,176.3611889,-180.7996686,-180.7996686,-180.7996686,0,0,0,410.6305077
27,2018-01-28,415.0993407,4400,249.8903343,680.6334441,415.0993407,415.0993407,57.45138531,57.45138531,57.45138531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240.2326277,240.2326277,240.2326277,-182.7812424,-182.7812424,-182.7812424,0,0,0,472.550726
28,2018-01-29,415.1296941,4400,-441.8479685,-20.00974362,415.1296941,415.1296941,-635.7447753,-635.7447753,-635.7447753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-451.1245852,-451.1245852,-451.1245852,-184.6201901,-184.6201901,-184.6201901,0,0,0,0
29,2018-01-30,415.1600474,4400,22.27411449,464.4851458,415.1600474,415.1600474,-170.4021083,-170.4021083,-170.4021083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.83913154,15.83913154,15.83913154,-186.2412398,-186.2412398,-186.2412398,0,0,0,244.7579391
30,2018-01-31,415.1904007,4400,26.48872708,465.6353374,415.1904007,415.1904007,-160.1734944,-160.1734944,-160.1734944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.40296619,27.40296619,27.40296619,-187.5764606,-187.5764606,-187.5764606,0,0,0,255.0169063
31,2018-02-01,415.220754,4400,16.03897843,445.8867103,415.220754,415.220754,-180.2139141,-180.2139141,-180.2139141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.352840084,8.352840084,8.352840084,-188.5667542,-188.5667542,-188.5667542,0,0,0,235.0068399
32,2018-02-02,415.2511073,4400,-14.4332654,432.3666695,415.2511073,415.2511073,-206.227163,-206.227163,-206.227163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17.06416925,-17.06416925,-17.06416925,-189.1629937,-189.1629937,-189.1629937,0,0,0,209.0239443
