,ds,trend,cap,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,buddabirthday,buddabirthday_lower,buddabirthday_upper,childrendays,childrendays_lower,childrendays_upper,crismasday,crismasday_lower,crismasday_upper,holidays,holidays_lower,holidays_upper,independencemovementday,independencemovementday_lower,independencemovementday_upper,koreanday,koreanday_lower,koreanday_upper,liberationday,liberationday_lower,liberationday_upper,memorialday,memorialday_lower,memorialday_upper,nationalfoundationday,nationalfoundationday_lower,nationalfoundationday_upper,newyear,newyear_lower,newyear_upper,thanksgivingday,thanksgivingday_lower,thanksgivingday_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
12,2018-01-13,94.57951688,1000,-23.45267206,201.1320598,94.57951688,94.57951688,-3.161540558,-3.161540558,-3.161540558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.40744714,58.40744714,58.40744714,-61.5689877,-61.5689877,-61.5689877,0,0,0,91.41797632
13,2018-01-14,94.56622368,1000,10.05777175,227.2745032,94.56622368,94.56622368,28.45895776,28.45895776,28.45895776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.67492199,88.67492199,88.67492199,-60.21596423,-60.21596423,-60.21596423,0,0,0,123.0251814
14,2018-01-15,94.55293048,1000,-183.4059256,47.15850085,94.55293048,94.55293048,-165.6365265,-165.6365265,-165.6365265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-106.5248468,-106.5248468,-106.5248468,-59.11167976,-59.11167976,-59.11167976,0,0,0,0
15,2018-01-16,94.53963728,1000,-92.55618327,141.3035686,94.53963728,94.53963728,-71.94348463,-71.94348463,-71.94348463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.66118263,-13.66118263,-13.66118263,-58.282302,-58.282302,-58.282302,0,0,0,22.59615265
16,2018-01-17,94.52634408,1000,-79.14410023,147.0948734,94.52634408,94.52634408,-66.5995089,-66.5995089,-66.5995089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.854126998,-8.854126998,-8.854126998,-57.7453819,-57.7453819,-57.7453819,0,0,0,27.92683519
17,2018-01-18,94.51305088,1000,-76.72618602,148.622419,94.51305088,94.51305088,-60.19609892,-60.19609892,-60.19609892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.686513243,-2.686513243,-2.686513243,-57.50958567,-57.50958567,-57.50958567,0,0,0,34.31695197
18,2018-01-19,94.49975768,1000,-88.69374553,127.4000088,94.49975768,94.49975768,-72.93038415,-72.93038415,-72.93038415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.35569947,-15.35569947,-15.35569947,-57.57468468,-57.57468468,-57.57468468,0,0,0,21.56937353
19,2018-01-20,94.48646449,1000,-13.2620644,211.4992958,94.48646449,94.48646449,0.475649824,0.475649824,0.475649824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.40744714,58.40744714,58.40744714,-57.93179732,-57.93179732,-57.93179732,0,0,0,94.96211431
20,2018-01-21,94.47317129,1000,22.30227537,237.6682306,94.47317129,94.47317129,30.11105172,30.11105172,30.11105172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.67492199,88.67492199,88.67492199,-58.56387027,-58.56387027,-58.56387027,0,0,0,124.584223
21,2018-01-22,94.45987809,1000,-188.4089216,37.37917112,94.45987809,94.45987809,-165.971226,-165.971226,-165.971226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-106.5248468,-106.5248468,-106.5248468,-59.44637922,-59.44637922,-59.44637922,0,0,0,0
22,2018-01-23,94.44658489,1000,-96.77688801,132.1703204,94.44658489,94.44658489,-74.20940584,-74.20940584,-74.20940584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.66118263,-13.66118263,-13.66118263,-60.54822321,-60.54822321,-60.54822321,0,0,0,20.23717905
23,2018-01-24,94.43329169,1000,-84.41326841,138.389728,94.43329169,94.43329169,-70.68690829,-70.68690829,-70.68690829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.854126998,-8.854126998,-8.854126998,-61.83278129,-61.83278129,-61.83278129,0,0,0,23.7463834
24,2018-01-25,94.41999849,1000,-90.33220714,141.6516577,94.41999849,94.41999849,-65.94560939,-65.94560939,-65.94560939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.686513243,-2.686513243,-2.686513243,-63.25909615,-63.25909615,-63.25909615,0,0,0,28.4743891
25,2018-01-26,94.4067053,1000,-105.5213705,133.5479013,94.4067053,94.4067053,-80.13884556,-80.13884556,-80.13884556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.35569947,-15.35569947,-15.35569947,-64.78314609,-64.78314609,-64.78314609,0,0,0,14.26785974
26,2018-01-27,94.3934121,1000,-28.85128003,198.268245,94.3934121,94.3934121,-7.951717838,-7.951717838,-7.951717838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.40744714,58.40744714,58.40744714,-66.35916498,-66.35916498,-66.35916498,0,0,0,86.44169426
27,2018-01-28,94.3801189,1000,4.023465182,226.8315046,94.3801189,94.3801189,20.73395282,20.73395282,20.73395282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.67492199,88.67492199,88.67492199,-67.94096917,-67.94096917,-67.94096917,0,0,0,115.1140717
28,2018-01-29,94.3668257,1000,-193.1596158,34.17447903,94.3668257,94.3668257,-176.0080978,-176.0080978,-176.0080978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-106.5248468,-106.5248468,-106.5248468,-69.48325105,-69.48325105,-69.48325105,0,0,0,0
29,2018-01-30,94.35353257,1000,-94.44348402,115.7940688,94.35353257,94.35353257,-84.60398352,-84.60398352,-84.60398352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.66118263,-13.66118263,-13.66118263,-70.94280089,-70.94280089,-70.94280089,0,0,0,9.749549051
30,2018-01-31,94.34023944,1000,-102.5377559,133.5024325,94.34023944,94.34023944,-81.13374866,-81.13374866,-81.13374866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.854126998,-8.854126998,-8.854126998,-72.27962167,-72.27962167,-72.27962167,0,0,0,13.20649077
31,2018-02-01,94.3269463,1000,-93.86119067,136.0948967,94.3269463,94.3269463,-76.14441889,-76.14441889,-76.14441889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.686513243,-2.686513243,-2.686513243,-73.45790565,-73.45790565,-73.45790565,0,0,0,18.18252741
32,2018-02-02,94.31365317,1000,-104.0484162,117.8068924,94.31365317,94.31365317,-89.80254615,-89.80254615,-89.80254615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.35569947,-15.35569947,-15.35569947,-74.44684668,-74.44684668,-74.44684668,0,0,0,4.511107016
33,2018-02-03,94.30036004,1000,-28.36497715,185.0301754,94.30036004,94.30036004,-16.81382067,-16.81382067,-16.81382067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.40744714,58.40744714,58.40744714,-75.22126781,-75.22126781,-75.22126781,0,0,0,77.48653937
34,2018-02-04,94.28706691,1000,-9.344411964,226.7326804,94.28706691,94.28706691,12.91287183,12.91287183,12.91287183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.67492199,88.67492199,88.67492199,-75.76205015,-75.76205015,-75.76205015,0,0,0,107.1999387
35,2018-02-05,94.27377377,1000,-204.0843115,25.07450204,94.27377377,94.27377377,-182.5812026,-182.5812026,-182.5812026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-106.5248468,-106.5248468,-106.5248468,-76.05635579,-76.05635579,-76.05635579,0,0,0,0
36,2018-02-06,94.26048064,1000,-101.9166231,108.5840313,94.26048064,94.26048064,-89.7588266,-89.7588266,-89.7588266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.66118263,-13.66118263,-13.66118263,-76.09764397,-76.09764397,-76.09764397,0,0,0,4.501654043
37,2018-02-07,94.24718751,1000,-106.609203,115.651337,94.24718751,94.24718751,-84.73961392,-84.73961392,-84.73961392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.854126998,-8.854126998,-8.854126998,-75.88548692,-75.88548692,-75.88548692,0,0,0,9.507573589
38,2018-02-08,94.23389438,1000,-96.58602088,125.5686762,94.23389438,94.23389438,-78.11171086,-78.11171086,-78.11171086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.686513243,-2.686513243,-2.686513243,-75.42519762,-75.42519762,-75.42519762,0,0,0,16.12218352
39,2018-02-09,94.22060124,1000,-105.8622375,112.8943994,94.22060124,94.22060124,-90.08298754,-90.08298754,-90.08298754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.35569947,-15.35569947,-15.35569947,-74.72728807,-74.72728807,-74.72728807,0,0,0,4.137613704
40,2018-02-10,94.20730811,1000,-29.03247573,187.4522543,94.20730811,94.20730811,-15.39933454,-15.39933454,-15.39933454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.40744714,58.40744714,58.40744714,-73.80678169,-73.80678169,-73.80678169,0,0,0,78.80797357
41,2018-02-11,94.19401498,1000,-9.651453815,219.8444072,94.19401498,94.19401498,15.99251434,15.99251434,15.99251434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.67492199,88.67492199,88.67492199,-72.68240764,-72.68240764,-72.68240764,0,0,0,110.1865293
42,2018-02-12,94.18072185,1000,-197.6371569,24.76109248,94.18072185,94.18072185,-177.9005554,-177.9005554,-177.9005554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-106.5248468,-106.5248468,-106.5248468,-71.37570861,-71.37570861,-71.37570861,0,0,0,0
