year,avgTemp,minTemp,maxTemp,corona,result
20180912,23,17,28,0,149
20180913,24,20,28,0,141
20180914,24,20,27,0,167
20180915,23,21,26,0,92
20180916,22,21,24,0,83
20180918,22,18,27,0,127
20180919,22,19,27,0,485
20180920,19,18,20,0,58
20180921,19,18,22,0,33
20180922,21,17,26,0,141
20180923,19,16,25,0,268
20180924,18,14,22,0,551
20180925,18,11,24,0,495
20180926,19,16,25,0,458
20180927,19,13,25,0,112
20180928,18,14,22,0,193
20180929,20,15,27,0,212
20180930,18,14,22,0,155
20181002,16,10,22,0,180
20181003,17,11,24,0,280
20181004,19,13,26,0,88
20181005,17,16,19,0,10
20181006,18,16,22,0,107
20181007,16,12,21,0,191
20181009,15,11,20,0,493
20181010,12,8,17,0,90
20181011,10,6,14,0,78
20181012,11,5,17,0,64
20181013,13,6,20,0,184
20181014,13,7,20,0,170
20181016,15,10,20,0,157
20181017,12,8,19,0,97
20181018,13,8,19,0,161
20181019,13,7,20,0,153
20181020,13,7,21,0,244
20181021,13,7,21,0,285
20181023,12,10,17,0,82
20181024,13,8,19,0,180
20181025,14,7,21,0,170
20181026,12,10,15,0,22
20181027,9,6,12,0,195
20181028,8,5,14,0,156
20181030,6,1,12,0,167
20181031,7,3,13,0,213
20181101,8,3,15,0,77
20181102,11,4,19,0,186
20181103,11,5,19,0,197
20181104,12,5,19,0,287
20181106,12,8,18,0,133
20181107,13,10,16,0,123
20181108,12,11,15,0,16
20181109,12,10,15,0,112
20181110,12,9,17,0,177
20181111,8,5,11,0,132
20181113,9,4,15,0,256
20181114,10,5,17,0,135
20181115,10,5,16,0,104
20181116,9,4,15,0,69
20181117,5,1,11,0,102
20181118,6,2,11,0,78
20181120,7,0,13,0,45
20181121,6,3,8,0,36
20181122,2,-1,7,0,57
20181123,2,-3,8,0,32
20181124,3,0,4,0,30
20181125,5,1,10,0,57
20181127,7,3,13,0,10
20181128,5,2,11,0,61
20181129,4,1,7,0,19
20181130,3,-2,8,0,40
20181201,6,1,12,0,61
20181202,8,3,12,0,55
20181204,7,0,12,0,17
20181205,0,-4,3,0,33
20181206,2,-1,7,0,44
20181207,-7,-10,-1,0,13
20181208,-8,-11,-4,0,50
20181209,-7,-12,-2,0,28
20181211,0,-2,3,0,24
20181212,-2,-5,2,0,24
20181213,-2,-6,2,0,13
20181214,-4,-8,1,0,28
20181215,-2,-8,3,0,50
20181216,0,-3,2,0,77
20181218,3,-3,7,0,29
20181219,4,1,10,0,36
20181220,3,-1,10,0,31
20181221,6,0,10,0,21
20181222,7,3,12,0,54
20181223,2,-3,8,0,62
20181225,1,-4,5,0,50
20181226,-2,-7,3,0,35
20181227,-10,-13,-7,0,9
20181228,-11,-14,-7,0,9
20181229,-8,-11,-3,0,13
20181230,-7,-11,-1,0,19
20190101,-5,-8,-1,0,37
20190102,-5,-9,0,0,22
20190103,-4,-8,3,0,21
20190104,-1,-6,4,0,17
20190105,-3,-6,1,0,32
20190106,-3,-6,3,0,58
20190108,-4,-7,1,0,54
20190109,-5,-9,1,0,16
20190110,-1,-5,3,0,28
20190111,2,0,7,0,54
20190112,3,-1,8,0,20
20190113,1,-3,8,0,66
20190115,-2,-7,3,0,6
20190116,-5,-10,-1,0,19
20190117,0,-3,4,0,22
20190118,1,-5,7,0,17
20190119,4,0,9,0,29
20190120,-1,-6,4,0,17
20190122,2,-3,7,0,10
20190123,2,-1,7,0,12
20190124,0,-5,7,0,16
20190125,-1,-4,3,0,22
20190126,-3,-7,2,0,34
20190127,0,-7,5,0,36
20190129,0,-6,7,0,25
20190130,2,-3,7,0,86
20190131,-2,-6,2,0,18
20190201,-2,-7,3,0,14
20190202,1,-3,6,0,92
20190203,3,2,5,0,6
20190204,-1,-3,3,0,63
20190205,3,-4,10,0,342
20190206,5,0,9,0,202
20190207,-2,-8,6,0,11
20190208,-6,-10,-1,0,18
20190209,-5,-9,-2,0,74
20190210,-5,-9,-2,0,65
20190212,-1,-4,4,0,25
20190213,-2,-6,3,0,36
20190214,-1,-6,6,0,27
20190215,-1,-3,1,0,4
20190216,-3,-5,2,0,55
20190217,-2,-7,5,0,60
20190219,1,0,3,0,26
20190220,2,0,5,0,20
20190221,2,-3,9,0,34
20190222,4,-2,11,0,72
20190223,7,1,15,0,88
20190224,6,1,14,0,117
20190226,5,-2,12,0,58
20190227,8,5,14,0,114
20190228,7,2,13,0,39
20190301,7,1,13,0,146
20190302,8,1,15,0,97
20190303,9,3,16,0,64
20190305,8,6,13,0,22
20190306,8,6,12,0,27
20190307,7,3,13,0,58
20190308,6,1,13,0,86
20190309,7,0,15,0,139
20190310,10,7,15,0,100
20190312,4,0,8,0,27
20190313,4,0,9,0,49
20190314,5,-2,10,0,32
20190315,6,2,11,0,20
20190316,4,0,9,0,91
20190317,6,3,12,0,117
20190319,10,3,17,0,103
20190320,10,7,15,0,14
20190321,7,2,11,0,27
20190322,3,-1,8,0,44
20190323,3,0,8,0,45
20190324,4,-1,10,0,95
20190326,11,7,18,0,82
20190327,12,9,16,0,108
20190328,9,6,15,0,39
20190329,9,6,15,0,47
20190330,5,4,8,0,23
20190331,4,3,8,0,42
