year,avgTemp,minTemp,maxTemp,corona,result
20190212,-1,-4,4,0,164
20190213,-2,-6,3,0,131
20190214,-1,-6,6,0,199
20190215,-1,-3,1,0,64
20190216,-3,-5,2,0,167
20190217,-2,-7,5,0,185
20190219,1,0,3,0,122
20190220,2,0,5,0,133
20190221,2,-3,9,0,174
20190222,4,-2,11,0,193
20190223,7,1,15,0,197
20190224,6,1,14,0,345
20190226,5,-2,12,0,161
20190227,8,5,14,0,301
20190228,7,2,13,0,178
20190301,7,1,13,0,370
20190302,8,1,15,0,230
20190303,9,3,16,0,288
20190305,8,6,13,0,93
20190306,8,6,12,0,69
20190307,7,3,13,0,211
20190308,6,1,13,0,193
20190309,7,0,15,0,342
20190310,10,7,15,0,250
20190312,4,0,8,0,58
20190313,4,0,9,0,128
20190314,5,-2,10,0,205
20190315,6,2,11,0,175
20190316,4,0,9,0,314
20190317,6,3,12,0,364
20190319,10,3,17,0,243
20190320,10,7,15,0,90
20190321,7,2,11,0,159
20190322,3,-1,8,0,200
20190323,3,0,8,0,162
20190324,4,-1,10,0,333
20190326,11,7,18,0,255
20190327,12,9,16,0,309
20190328,9,6,15,0,202
20190329,9,6,15,0,306
20190330,5,4,8,0,177
20190331,4,3,8,0,248
20190402,7,1,13,0,233
20190403,8,2,14,0,293
20190404,9,3,16,0,219
20190405,11,7,17,0,177
20190406,9,6,12,0,192
20190407,13,6,20,0,683
20190409,9,5,14,0,195
20190410,7,5,10,0,92
20190411,10,4,16,0,387
20190412,11,6,18,0,274
20190413,12,6,18,0,544
20190414,10,7,14,0,308
20190416,15,7,23,0,267
20190417,15,9,22,0,301
20190418,13,10,16,0,143
20190419,14,10,20,0,372
20190420,14,10,19,0,411
20190421,15,12,20,0,527
20190423,20,15,26,0,235
20190424,20,16,26,0,382
20190425,13,9,17,0,154
20190426,8,6,10,0,103
20190427,12,4,18,0,562
20190428,13,10,17,0,424
20190430,16,9,23,0,435
20190501,16,11,22,0,473
20190502,17,11,25,0,288
20190503,18,10,26,0,296
20190504,20,12,27,0,245
20190505,19,14,27,0,486
20190506,15,10,20,0,517
20190507,15,8,22,0,323
20190508,16,10,21,0,207
20190509,17,12,23,0,312
20190510,18,10,27,0,189
20190511,20,13,28,0,367
20190512,22,15,29,0,294
20190514,20,13,27,0,186
20190515,21,15,28,0,248
20190516,24,17,30,0,269
20190517,24,18,28,0,220
20190518,23,19,26,0,386
20190519,19,18,22,0,146
20190521,17,12,24,0,258
20190522,20,12,27,0,219
20190523,22,15,29,0,243
20190524,24,16,33,0,128
20190525,23,18,29,0,293
20190526,25,19,31,0,344
20190528,18,12,25,0,213
20190529,20,13,27,0,387
20190530,20,15,25,0,231
20190531,19,16,23,0,307
20190601,19,15,24,0,393
20190602,21,14,28,0,387
20190604,23,18,29,0,226
20190605,23,18,30,0,273
20190606,21,19,25,0,293
20190607,20,17,25,0,104
20190608,22,16,28,0,329
20190609,22,17,27,0,303
20190611,21,16,26,0,260
20190612,22,16,26,0,177
20190613,23,17,29,0,205
20190614,23,19,28,0,270
20190615,22,18,27,0,258
20190616,22,16,27,0,407
20190618,21,17,25,0,109
20190619,21,19,25,0,143
20190620,23,20,28,0,328
20190621,22,19,26,0,236
20190622,24,18,31,0,343
20190623,25,19,31,0,384
20190625,26,20,33,0,169
20190626,26,21,30,0,401
20190627,26,22,31,0,275
20190628,25,22,29,0,204
20190629,23,20,28,0,298
20190630,24,21,29,0,618
20190702,24,21,30,0,154
20190703,24,21,27,0,172
20190704,25,20,33,0,186
20190705,28,20,35,0,72
20190706,30,25,36,0,137
20190707,27,23,33,0,231
20190709,25,20,30,0,128
20190710,23,19,27,0,136
20190711,22,20,26,0,127
20190712,24,20,29,0,141
20190713,25,22,30,0,236
20190714,26,21,32,0,160
20190716,25,21,29,0,101
20190717,26,22,29,0,141
20190718,27,23,32,0,136
20190719,29,23,35,0,75
20190720,28,25,32,0,142
20190721,25,24,27,0,113
20190723,28,24,33,0,122
20190724,27,25,27,0,96
20190725,26,26,27,0,66
20190726,25,24,26,0,27
20190727,28,25,33,0,131
20190728,26,25,28,0,69
20190730,28,26,31,0,135
20190731,26,24,28,0,96
20190801,26,24,30,0,131
20190802,28,25,33,0,131
20190803,29,26,36,0,85
20190804,28,25,34,0,107
20190806,32,28,37,0,86
20190807,27,24,30,0,40
20190808,29,26,33,0,67
20190809,30,26,35,0,68
20190810,32,27,37,0,72
20190811,30,26,36,0,139
20190813,29,25,35,0,110
20190814,30,26,36,0,97
20190815,26,24,29,0,134
20190816,26,23,30,0,139
20190817,26,23,29,0,218
20190818,26,23,31,0,339
20190820,28,23,33,0,356
20190821,27,24,30,0,335
20190822,27,23,31,0,313
20190823,26,23,31,0,309
20190824,24,22,27,0,432
20190825,25,20,30,0,494
20190827,26,22,29,0,138
20190828,26,24,30,0,156
20190829,23,20,26,0,142
20190830,23,20,27,0,205
20190831,24,19,29,0,267
20190901,24,19,28,0,331
20190903,24,22,28,0,190
20190904,23,21,26,0,28
20190905,23,22,28,0,53
20190906,25,22,29,0,207
20190907,26,23,30,0,21
20190908,25,23,27,0,250
20190910,24,22,27,0,49
20190911,24,20,29,0,125
20190912,21,19,23,0,490
20190913,23,18,29,0,1015
20190914,22,21,24,0,752
20190915,24,20,30,0,614
20190917,24,18,29,0,232
20190918,21,16,25,0,338
20190919,20,14,26,0,143
20190920,20,16,24,0,237
20190921,20,18,22,0,283
20190922,19,17,20,0,195
20190924,20,14,27,0,313
20190925,21,15,27,0,515
20190926,23,18,29,0,237
20190927,23,20,27,0,263
20190928,24,19,29,0,345
20190929,23,18,29,0,328
20191001,23,18,28,0,190
20191002,22,20,24,0,156
20191003,22,20,27,0,382
20191004,22,18,28,0,298
20191005,19,15,22,0,192
20191006,18,13,23,0,310
20191008,15,11,20,0,270
20191009,14,8,20,0,440
20191010,15,11,20,0,229
20191011,19,13,26,0,438
20191012,18,13,23,0,339
20191013,17,12,24,0,477
20191015,15,9,20,0,306
20191016,15,9,21,0,288
20191017,15,11,22,0,237
20191018,17,12,23,0,298
20191019,17,12,23,0,626
20191020,17,12,23,0,380
20191022,18,13,24,0,204
20191023,17,14,21,0,390
20191024,18,15,24,0,462
20191025,17,13,22,0,437
20191026,10,7,15,0,830
20191027,11,5,17,0,602
20191029,13,8,18,0,287
20191030,11,5,18,0,553
20191031,15,8,20,0,280
20191101,15,11,21,0,228
20191102,14,8,19,0,235
20191103,15,9,22,0,422
20191105,12,8,18,0,448
20191106,11,6,17,0,331
20191107,9,5,14,0,410
20191108,7,1,13,0,255
20191109,10,4,17,0,410
